experiment,survey,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13
1,dog_behavior_destructive,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,3,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,3,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,4,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,7,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,3,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,5,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,dog_behavior_destructive,1,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
